METER_ID,OBJECTID,Meter_Styl,Type,Sub_Base,Max_Hours,Rate_Per_H,Rate_Per_D,Hours_Oper,Sign_Type,Notes,Duplex,LegacyID,Location,FacilityID,Rotation,GlobalID
20K34,784,,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,5,20-K,20K34,270,{5CFA00CA-66FB-4874-B4C0-0D865660D38D}
21K77,785,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,21-K,21K77,90,{1EF9B6C8-1B04-4A6D-8CF3-3CF7AC9F40D6}
20K26,786,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K26,270,{024478A8-E51C-42F2-AA5D-84A84A7FDEB6}
24L75,787,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L75,90,{BCEA69BA-19CD-4169-9FC7-59D8695860CF}
20K28,788,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K28,270,{49E5BB43-4DA7-40EE-9B90-A7EF15BC6698}
20K27,789,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K27,270,{64276810-CEDE-4291-B179-5F0508A505CC}
20L99,793,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L99,90,{7C92A63F-0131-4B23-84D3-4D5503E5A151}
20L97,794,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L97,90,{B00E4F55-EBD2-4391-9C53-82412E5302A4}
20L96,795,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L96,90,{826B70CD-B33D-484F-94D5-C6EE4FC8D13D}
20L95,796,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L95,90,{CCA551CD-E6F3-4306-B90E-B58A160ECE63}
20L94,797,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L94,90,{F710C2B0-01B4-4E47-A286-FF139636BA22}
20L93,798,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L93,90,{B86BAA4E-3358-4C68-8B77-3B3D0CDDC9C4}
20L92,799,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L92,90,{A55BB88F-E39A-4AAF-A52A-BE2D12A88CBA}
20L91,800,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L91,90,{A6A6ACC3-DB4D-49D1-8EFB-679EA4E23130}
20L90,801,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L90,90,{2672B849-949F-4206-A765-91E87F4B943A}
20L89,802,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L89,90,{AD097CA9-3F3B-4C5A-B88B-E0741732F7F2}
20L87,803,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L87,90,{8B692772-8F64-4C8F-AD6E-3BCCC8776187}
20L86,804,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L86,90,{B53432B0-CF95-4DB3-8025-341491F5CAB6}
20L85,805,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L85,90,{FB1667C5-0DBD-4C04-B99C-3137588E1E79}
20L84,806,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L84,90,{6DFFEAC5-C2F7-4141-88DC-062EADEA2E15}
20K30,807,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K30,270,{6197FC4C-3D06-4B74-B5C1-F167806B8232}
20K29,808,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K29,270,{485E744B-9C01-484E-BE58-CBD782671CDC}
20K81,809,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K81,90,{E2C33D91-42E2-42A5-B0A5-C9F028F10837}
20K88,811,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K88,90,{2C2830E7-FC1A-416E-B8E9-E84B9901F237}
20K89,812,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K89,90,{675182EC-B603-4F0C-B6AD-ED062619567E}
20K90,813,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K90,90,{5BC25036-1994-4E70-B645-DD906C699934}
20K91,814,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K91,90,{CE0D7111-4C21-4685-994D-6F6A22C03B95}
20K92,815,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-K,20K92,90,{40F61B1C-23DD-4118-8D01-F840A0C53BDC}
20J30,816,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-J,20J30,270,{D67A73C9-DCE1-4977-B430-300054B0DAD8}
20J31,817,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-J,20J31,270,{04B815DA-F960-4962-BE5B-A9E1A5F1B6A1}
20J32,818,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-J,20J32,270,{DD21162B-8534-4390-9E4B-83A87208B396}
20J33,819,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-J,20J33,270,{A3E2DCE6-02AB-4A47-9935-02D8FCE60550}
20J34,820,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-J,20J34,270,{B203C543-9C33-4792-A9C7-6C8161151E9B}
20J35,821,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-J,20J35,270,{50FB0643-4FCE-49D4-B656-DD433BBEC7A0}
20J36,822,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-J,20J36,270,{3A499E6D-F058-47BB-A98E-D9A5283195BE}
20J37,823,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-J,20J37,270,{DFEA0675-38A1-4336-9D66-4EAA22744BD1}
20J38,824,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-J,20J38,270,{7C1CEF79-3FE1-42C0-87C7-29FF76A0A8CD}
20J39,825,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-J,20J39,270,{E7A22F0D-FB45-4693-A77C-7E2E7E2E0FD1}
20J40,826,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,NP LT,,Stove Pipe,5,20-J,20J40,270,{BF6526E0-FA9C-41DF-B263-FCFCE1957A77}
14T37,827,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,3,14-T,14T37,270,{377ECBDE-3138-447B-BD1E-2CEDD40C5FBB}
14T36,828,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,3,14-T,14T36,270,{B050D13E-C72F-4430-9328-C0A9EA21E85C}
14T35,829,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,3,14-T,14T35,270,{4CCEC242-097E-4758-B321-D0F527C02EAD}
14T34,830,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,3,14-T,14T34,270,{0ACCA266-0B0D-4297-B0C7-47368BDA7F12}
14T33,831,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,3,14-T,14T33,270,{39D2687B-30D2-4242-BB93-2C184DB963A6}
14T32,832,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,3,14-T,14T32,270,{98756732-7CC3-41B9-BFA5-EDE8FBCA684B}
14T31,833,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,3,14-T,14T31,270,{1D97E7F9-0F12-4459-B1DB-6A14D6031544}
14T30,834,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,3,14-T,14T30,270,{4A76D705-65F1-4ACA-B2E2-3096618A7196}
14T29,835,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,3,14-T,14T29,270,{DBB682CD-6BA3-44EB-898A-9ABCA86D767F}
14T28,836,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,3,14-T,14T28,270,{35DC9CA7-2C07-4567-9E68-123632D76292}
